n	eps	c	time
1000	0.4	1	6.122098249547614e-05
1000	0.3	1	8.90621951982087e-05
1000	0.2	1	0.00011042987599092372
1000	0.1	1	0.00021173322902006263
1000	0.05	1	0.00040873008615830363
10000	0.4	1	0.00024733239529179616
10000	0.3	1	0.0003245449533649518
10000	0.2	1	0.0004178519342459884
10000	0.1	1	0.0008000743155385934
10000	0.05	1	0.0015750410510044467
